comuna,mesa,sum(registrados),sum(votaron),sum(pro),sum(eco),sum(blanco),sum(impugnado),sum(nulo),sum(recurrido),sum(tecnico)
9,3894,3118,2275,1002,1131,112,0,29,0,1
9,3898,1737,1248,535,643,64,0,6,0,0
9,3908,2410,1749,722,921,85,0,20,1,0
9,3915,2070,1472,685,690,79,6,12,0,0
9,3921,2414,1756,734,914,90,0,18,0,0
9,3928,3095,2240,997,1107,107,2,27,0,0
9,3937,3106,2218,1000,1057,140,0,21,0,0
9,3946,3449,2483,1102,1212,145,3,20,0,1
9,3956,1377,980,467,435,66,0,12,0,0
9,3960,3792,2742,1215,1375,128,2,21,0,1
9,3965,2761,1903,892,900,88,0,22,1,0
9,3973,3464,2547,1158,1239,131,3,16,0,0
9,3989,3449,2567,1205,1207,125,1,7,2,20
9,3999,5869,4306,1935,2123,213,7,24,0,4
9,4016,1728,1271,566,641,59,0,5,0,0
9,4021,5872,3950,1823,1888,207,2,30,0,0
9,4036,3093,2331,1078,1129,109,0,15,0,0
9,4045,2742,2050,920,994,115,0,17,0,4
9,4053,2394,1788,861,827,89,0,9,0,2
9,4060,2743,2070,970,994,87,0,19,0,0
9,4068,2107,1573,698,794,70,0,11,0,0
9,4074,2093,1604,740,763,88,0,13,0,0
9,4080,1744,1335,564,677,81,4,9,0,0
9,4085,2795,2102,911,1072,109,0,10,0,0
9,4093,2790,2111,921,1062,109,0,19,0,0
9,4101,2099,1578,698,777,88,0,15,0,0
9,4107,2411,1673,769,800,91,0,13,0,0
9,4114,2409,1669,756,803,95,0,13,0,2
9,4121,2410,1711,785,826,85,0,15,0,0
9,4128,1719,1184,515,585,73,0,11,0,0
9,4133,1716,1212,545,590,67,0,10,0,0
9,4138,3448,2316,1011,1162,123,1,18,0,1
9,4147,2064,1461,655,712,77,0,17,0,0
9,4153,1716,1210,535,590,71,2,10,0,2
10,4158,3804,2875,1380,1339,125,0,30,0,1
10,4169,3427,2427,1089,1183,129,0,25,0,1
10,4178,2066,1568,716,769,65,0,18,0,0
10,4184,2061,1560,740,727,79,0,11,0,3
10,4190,2067,1540,707,751,71,0,11,0,0
10,4196,3485,2657,1292,1187,144,0,33,0,1
10,4206,5551,4108,1996,1894,181,0,36,0,1
10,4222,3819,2788,1281,1330,142,0,34,0,1
10,4233,2781,2089,917,1036,108,0,28,0,0
10,4241,3823,2819,1220,1442,134,3,19,1,0
10,4252,2084,1564,680,795,79,0,10,0,0
10,4258,2427,1802,776,906,106,1,13,0,0
10,4265,1041,764,318,395,46,0,5,0,0
10,4268,3500,2640,1174,1285,155,0,22,3,1
10,4278,3154,2337,1012,1205,103,0,16,0,1
10,4287,2447,1836,779,957,87,0,13,0,0
10,4294,2451,1826,805,918,85,0,15,1,2
10,4301,3851,2913,1264,1471,157,1,20,0,0
10,4312,1051,796,351,391,43,0,11,0,0
10,4315,2102,1571,714,744,98,0,15,0,0
10,4321,4094,3048,1313,1552,141,3,35,0,4
10,4333,2046,1547,646,801,77,0,18,5,0
10,4339,3070,2295,1021,1142,104,0,27,0,1
10,4348,2039,1495,619,768,88,0,20,0,0
10,4354,2428,1842,769,954,97,0,18,0,4
10,4361,2077,1520,677,756,73,2,12,0,0
10,4367,2429,1824,746,966,103,1,7,1,0
10,4374,2080,1507,645,755,95,0,12,0,0
10,4380,1735,1294,548,674,60,0,12,0,0
10,4385,1388,1033,444,531,47,0,11,0,0
10,4389,1387,1030,460,511,53,2,4,0,0
10,4393,5203,3796,1628,1951,178,2,34,0,3
10,4408,2449,1847,780,944,102,0,20,0,1
10,4415,2441,1828,813,912,85,0,18,0,0
10,4422,3146,2297,974,1200,106,0,17,0,0
10,4431,1393,1029,389,588,42,1,8,0,1
10,4435,2449,1831,743,968,108,1,9,0,2
10,4442,3846,2811,1250,1376,145,0,39,0,1
10,4453,3849,2766,1157,1439,137,0,31,1,1
10,4464,3853,2780,1266,1348,143,0,20,0,3
10,4475,3502,2572,1124,1280,150,0,17,1,0
10,4485,2449,1721,729,888,85,0,19,0,0
10,4492,1746,1237,509,648,66,0,14,0,0
10,4497,3733,2767,1143,1406,182,0,36,0,0
10,4508,2381,1757,715,941,73,0,28,0,0
10,4515,1016,761,290,425,45,0,1,0,0
10,4518,1692,1254,484,684,74,1,11,0,0
10,4523,1358,967,382,512,68,0,5,0,0
10,4527,2094,1475,667,693,86,4,23,2,0
10,4533,2098,1456,621,743,73,0,19,0,0
10,4539,3817,2490,1087,1238,134,0,31,0,0
10,4549,4531,3151,1358,1595,177,2,19,0,0
10,4562,1707,1200,486,638,63,0,8,5,0
10,4567,3401,2414,1008,1254,129,3,20,0,0
10,4577,3403,2371,984,1230,133,1,23,0,0
11,4587,4150,3095,1330,1573,162,3,27,0,0
11,4599,2411,1750,745,882,96,1,26,0,0
11,4606,2430,1841,828,905,97,1,9,1,0
11,4610,1379,1028,405,556,57,0,7,0,3
11,4614,3448,2539,1092,1291,124,1,30,1,0
11,4624,4135,3049,1300,1567,156,2,22,1,1
11,4636,2408,1779,738,918,103,0,19,0,1
11,4643,1037,757,306,384,53,0,11,0,3
11,4646,2061,1458,622,747,77,0,9,3,0
11,4652,4140,3084,1284,1581,180,6,33,0,0
11,4664,2754,1994,839,1032,97,0,25,0,1
11,4672,4111,2969,1243,1521,169,0,35,0,1
11,4684,1614,1058,447,543,56,0,12,0,0
11,4688,4449,3211,1308,1684,178,0,40,0,1
11,4701,2387,1738,661,934,121,0,22,0,0
11,4708,3142,2313,996,1172,124,0,18,0,3
11,4717,2442,1789,747,912,106,0,24,0,0
11,4724,2092,1518,607,796,97,0,18,0,0
11,4730,2093,1495,629,787,69,2,8,0,0
11,4736,3498,2593,1038,1371,152,0,32,0,0
11,4746,4187,3012,1252,1571,159,0,28,1,1
11,4758,3858,2790,1249,1349,167,4,21,0,0
11,4769,2452,1872,836,926,86,0,24,0,0
11,4776,2446,1797,754,935,91,0,17,0,0
11,4783,1400,1015,402,548,52,0,13,0,0
11,4787,1753,1322,553,699,62,0,8,0,0
11,4792,3142,2333,1001,1198,121,0,13,0,0
11,4801,3143,2343,1070,1131,112,0,30,0,0
11,4810,2422,1801,826,887,70,1,16,1,0
11,4817,4046,2907,1315,1417,149,0,25,0,1
11,4828,1728,1302,598,645,45,0,10,0,4
11,4833,2071,1561,787,699,60,0,15,0,0
11,4839,1728,1327,629,619,58,1,20,0,0
11,4844,2413,1762,821,838,84,0,19,0,0
11,4851,4182,3203,1473,1545,155,0,27,3,0
11,4863,3835,2868,1306,1402,131,0,28,0,1
11,4874,1390,1019,484,478,47,0,10,0,0
11,4878,2781,2092,956,1032,89,0,15,0,0
11,4889,3132,2320,1042,1152,105,9,12,0,0
11,4898,2777,2051,934,997,99,1,20,0,0
11,4900,1043,760,313,402,40,0,4,0,1
11,4903,2785,2092,1014,976,81,0,19,2,0
11,4911,2088,1502,709,722,58,0,13,0,0
11,4913,3467,2615,1254,1237,109,0,14,0,1
11,4929,3117,2303,1096,1087,106,0,13,0,1
11,4938,2423,1816,894,824,75,0,23,0,0
11,4945,1734,1299,624,596,64,0,15,0,0
11,4950,2766,2051,1018,928,89,0,16,0,0
11,4958,4193,3074,1481,1404,159,0,30,0,0
11,4970,3846,2871,1423,1290,138,0,18,0,2
11,4981,2443,1848,929,816,86,5,9,0,3
11,4988,1752,1307,633,602,68,0,4,0,0
11,4997,1743,1327,668,591,51,1,13,0,3
11,5002,3114,2283,1270,928,66,3,16,0,0
11,5011,3106,2314,1260,958,81,0,15,0,0
11,5020,3456,2548,1406,1013,103,0,24,2,0
11,5030,4147,2988,1643,1202,125,1,16,0,1
11,5042,2053,1509,717,710,67,0,15,0,0
11,5048,3092,2289,1109,1047,122,0,11,0,0
11,5057,2067,1498,686,733,58,0,19,0,2
11,5063,1715,1287,615,590,63,0,16,2,1
11,5068,2061,1558,732,746,65,0,15,0,0
11,5074,1029,801,371,386,37,0,7,0,0
11,5077,2055,1542,726,752,56,3,4,0,1
12,5083,2063,1537,711,724,83,0,18,0,1
12,5089,2066,1543,723,722,87,1,10,0,0
12,5095,5864,4361,2080,2004,227,1,45,1,3
12,5108,3081,2297,1075,1083,108,3,27,0,1
12,5117,2413,1818,830,863,103,0,21,0,1
12,5121,3432,2606,1211,1229,146,0,18,1,1
12,5131,2774,2152,1029,990,106,2,23,0,2
12,5139,3111,2381,1171,1078,110,5,11,0,6
12,5148,2773,2126,1023,999,99,1,3,1,0
12,5159,4154,3143,1456,1484,170,1,31,0,1
12,5171,2421,1866,913,825,106,1,20,0,1
12,5178,2081,1597,811,698,72,1,15,0,0
12,5180,3797,2832,1303,1362,137,0,28,0,2
12,5191,2783,2112,1034,961,104,0,13,0,0
12,5199,3126,2340,1132,1076,102,0,29,0,1
12,5208,2438,1808,851,860,88,0,9,0,0
12,5215,2436,1795,837,835,102,2,18,0,1
12,5222,3825,2933,1347,1416,150,0,19,1,0
12,5237,4728,3476,1643,1626,182,4,21,0,0
12,5242,2084,1549,832,636,67,0,14,0,0
12,5248,2787,2085,1077,886,107,2,13,0,0
12,5256,2083,1612,842,705,57,0,8,0,0
12,5262,2430,1827,944,797,76,0,10,0,0
12,5269,2771,2083,1083,891,88,1,20,0,0
12,5277,2773,2046,1103,829,99,5,9,0,1
12,5285,2080,1553,782,693,60,0,18,0,0
12,5295,2429,1825,975,769,72,0,8,0,1
12,5302,1386,1027,520,441,55,0,9,0,2
12,5306,1045,782,440,309,29,0,4,0,0
12,5309,3139,2396,1165,1100,120,0,11,0,0
12,5318,2441,1870,947,826,75,4,17,0,1
12,5325,3477,2654,1268,1231,133,0,20,0,2
12,5335,4099,3048,1432,1438,153,2,18,1,4
12,5342,1740,1304,603,614,76,1,10,0,0
12,5347,4185,3110,1472,1460,149,0,28,0,1
12,5359,1394,1046,509,478,52,0,6,0,1
12,5363,3475,2500,1217,1107,156,0,20,0,0
12,5373,5233,3862,1919,1713,197,1,30,0,2
12,5388,2092,1539,783,679,65,0,9,0,3
12,5394,2090,1544,783,670,74,4,13,0,0
12,5400,2095,1529,787,652,76,1,13,0,0
12,5406,2437,1804,911,777,99,0,17,0,0
12,5413,1392,1006,497,450,44,0,15,0,0
12,5417,1742,1279,650,548,69,1,10,0,1
12,5422,1743,1276,620,591,53,1,11,0,0
12,5427,2433,1750,875,765,96,0,14,0,0
12,5434,4529,3299,1672,1433,163,4,25,1,1
12,5447,3474,2573,1245,1175,125,3,23,0,2
12,5457,5556,4090,2009,1838,199,0,43,0,1
12,5473,4168,3045,1541,1291,192,0,20,0,1
12,5499,1362,877,413,413,43,0,8,0,0
12,5502,5180,3802,1818,1762,196,3,22,0,1
12,5517,4487,3263,1575,1493,166,1,28,0,0
12,5530,3435,2499,1191,1162,125,0,19,2,0
12,5540,1721,1259,611,581,59,0,8,0,0
12,5545,1727,1260,587,595,65,0,12,0,1
12,5550,2411,1762,865,801,89,2,5,0,0
12,5557,3459,2595,1279,1177,116,0,23,0,0
12,5561,4174,3057,1565,1312,152,2,25,1,0
12,5579,2783,2096,1039,933,99,0,25,0,0
12,5587,1394,1058,492,507,47,0,12,0,0
12,5591,2086,1576,844,654,65,0,13,0,0
12,5597,2780,1992,1005,867,99,3,18,0,0
12,5605,2084,1557,778,694,68,0,17,0,0
12,5611,2781,2053,1009,936,91,0,16,0,1
13,5619,1038,722,398,286,34,0,3,0,1
13,5622,7900,5425,2919,2212,258,0,35,0,1
13,5644,3076,2206,1225,880,80,0,20,0,1
13,5653,2734,1979,1065,821,74,0,11,0,8
13,5661,2049,1531,834,627,60,2,7,0,1
13,5667,3412,2504,1363,1020,107,4,10,0,0
13,5677,6210,4526,2299,1951,250,0,25,1,0
13,5695,4821,3430,1819,1415,161,4,30,1,0
13,5709,2755,1999,1039,850,93,0,15,0,2
13,5717,1032,729,389,292,45,0,2,0,1
13,5720,6667,4874,2541,2072,220,0,38,0,3
13,5739,4899,3548,1853,1506,162,4,22,0,1
13,5753,2092,1514,795,636,73,0,10,0,0
13,5759,6261,4497,2579,1747,150,0,19,1,1
13,5777,5557,4001,2279,1559,141,0,21,0,1
13,5793,4168,2959,1683,1174,84,0,18,0,0
13,5805,3477,2493,1412,953,112,0,16,0,0
13,5815,1391,1006,558,406,31,0,11,0,0
13,5819,1736,1224,695,475,48,0,6,0,0
13,5824,3471,2431,1396,926,96,2,11,0,0
13,5834,2774,1986,1098,799,83,0,6,0,0
13,5842,4872,3433,2046,1233,126,0,28,0,0
13,5856,4519,3195,1898,1168,112,0,17,0,0
13,5869,9034,6313,3735,2329,213,0,31,0,5
13,5895,2108,1458,795,595,61,1,6,0,0
13,5901,4203,2899,1556,1215,106,1,20,0,1
13,5913,2101,1478,795,595,68,3,11,0,6
13,5919,5168,3545,2052,1303,164,0,19,1,6
13,5934,2409,1594,920,593,70,0,10,1,0
13,5941,4473,3079,1799,1169,106,0,5,0,0
13,5954,2412,1668,1005,592,64,0,4,0,3
13,5961,6580,4518,3205,1171,119,0,22,0,1
13,5980,4154,2784,1977,725,77,1,4,0,0
13,5992,4840,3255,2252,897,99,0,6,0,1
13,6006,3117,2109,1524,529,46,0,8,0,2
13,6015,1042,731,491,216,19,0,5,0,0
13,6018,5203,3493,2499,885,94,0,11,0,4
13,6033,5554,3945,2281,1485,160,1,18,0,0
13,6049,2079,1440,836,534,63,0,7,0,0
13,6055,3816,2607,1535,962,99,0,10,0,1
13,6066,2423,1695,962,662,57,0,14,0,0
13,6073,2071,1494,902,542,43,0,6,0,1
13,6079,2419,1723,986,670,59,0,7,0,1
13,6086,2399,1650,1074,515,45,0,14,0,2
13,6093,1025,727,430,257,30,0,10,0,0
13,6096,2734,1873,1216,575,68,0,14,0,0
13,6104,2051,1379,864,456,47,0,11,0,1
13,6110,2781,2013,1013,877,100,0,22,0,1
13,6118,3474,2558,1255,1154,121,0,27,0,1
13,6128,2429,1740,842,798,87,0,13,0,0
13,6135,2083,1524,717,717,84,0,6,0,0
13,6141,4509,3278,1456,1617,182,1,22,0,0
13,6154,5101,3524,1600,1710,185,0,28,1,0
13,6168,4116,2942,1279,1499,132,0,32,0,0
13,6180,2742,1984,908,964,100,2,8,0,2
13,6188,1736,1255,705,494,46,0,9,1,0
13,6193,3480,2462,1418,944,84,0,16,0,0
13,6203,3839,2744,1596,1016,117,2,12,0,1
13,6214,4182,2914,1685,1109,106,1,13,0,0
13,6226,3478,2446,1403,950,78,0,15,0,0
13,6236,4171,2810,1623,1038,121,2,22,0,4
14,6248,5211,3588,2184,1268,120,0,15,0,1
14,6263,2775,1957,1225,657,59,0,14,0,2
14,6271,3119,2157,1294,771,82,0,10,0,0
14,6280,3120,2131,1337,710,76,0,7,0,1
14,6289,2083,1442,930,447,54,2,8,0,1
14,6295,2777,1954,1165,690,77,0,22,0,0
14,6303,3461,2440,1510,834,86,0,10,0,0
14,6313,1752,1179,738,403,35,0,2,1,0
14,6318,4887,3332,2130,1081,108,1,9,1,2
14,6332,5935,4049,2604,1300,126,0,16,0,3
14,6349,2096,1455,923,479,43,0,10,0,0
14,6355,6283,4307,2747,1425,124,0,7,3,1
14,6373,4190,2776,1826,857,86,0,7,0,0
14,6385,4176,2751,2121,569,55,0,6,0,0
14,6397,6964,4386,3324,965,87,0,7,0,3
14,6417,2089,1390,1053,307,29,0,0,1,0
14,6423,2438,1639,1039,544,48,0,7,0,1
14,6430,1737,1222,857,337,24,0,4,0,0
14,6435,4865,3252,2107,1030,104,0,10,0,1
14,6449,4858,3172,2055,1010,87,0,18,0,2
14,6463,3114,2055,1367,608,70,0,9,0,1
14,6472,2418,1670,1126,487,52,0,5,0,0
14,6479,5195,3474,2204,1143,105,0,22,0,0
14,6494,1387,912,607,271,26,0,8,0,0
14,6498,5845,3822,2353,1321,126,5,17,0,0
14,6514,3442,2284,1366,817,81,0,19,1,0
14,6524,4813,3212,1952,1143,98,0,17,0,2
14,6538,4484,3010,1887,1008,105,0,10,0,0
14,6551,2410,1633,976,584,61,1,8,1,2
14,6558,7318,5055,2577,2155,267,1,53,0,2
14,6579,7315,5011,2492,2276,212,2,29,0,0
14,6600,4530,3118,1528,1417,150,2,21,0,0
14,6613,1039,732,360,337,34,0,1,0,0
14,6616,4520,3091,1510,1419,143,2,15,0,2
14,6629,5233,3577,1681,1706,161,0,29,0,0
14,6644,3138,2084,984,963,115,0,20,0,2
14,6653,4873,3348,1654,1525,145,0,23,0,1
14,6667,1745,1175,568,553,44,0,10,0,0
14,6672,2450,1665,795,784,79,1,6,0,0
14,6679,5574,3770,1772,1788,182,0,28,0,0
14,6695,2787,1834,869,868,80,0,16,0,1
14,6703,1739,1166,566,507,75,0,18,0,0
14,6708,4184,2884,1379,1326,145,1,33,0,0
14,6720,2441,1723,848,765,90,4,13,0,3
14,6727,3133,2151,1017,1002,108,0,24,0,0
14,6736,4865,3375,1650,1530,166,4,22,0,3
14,6750,2785,1904,948,836,96,0,22,1,1
14,6758,2084,1413,689,636,73,0,15,0,0
14,6764,4173,2912,1355,1366,165,0,24,1,1
14,6776,3405,2373,1000,1202,147,2,22,0,0
14,6786,3401,2298,1008,1126,129,0,29,3,3
14,6796,2041,1387,579,701,92,0,14,1,0
14,6802,2018,1241,521,630,74,0,16,0,0
14,6807,4519,3162,1386,1579,162,2,33,0,0
14,6820,3123,2120,886,1078,128,0,25,2,1
14,6829,3468,2390,998,1230,134,0,28,0,0
14,6839,3122,2200,931,1142,103,0,24,0,0
14,6848,2080,1437,571,759,87,0,18,0,2
15,6854,6945,4837,2032,2477,253,2,63,1,9
15,6874,3819,2627,1041,1396,165,0,23,2,0
15,6885,4506,3163,1291,1650,195,3,23,0,1
15,6898,4851,3349,1407,1738,158,4,42,0,0
15,6912,4490,3159,1301,1678,155,0,25,0,0
15,6925,1031,715,281,384,43,0,7,0,0
15,6928,2765,1907,787,987,110,0,23,0,0
15,6936,2765,1951,832,973,127,1,17,0,1
15,6944,1034,698,297,352,43,0,6,0,0
15,6947,4856,3502,1506,1783,186,3,24,0,0
15,6961,2763,1955,859,975,101,3,17,0,0
15,6969,2417,1623,692,813,98,2,18,0,0
15,6976,1719,1121,465,581,62,0,13,0,0
15,6981,4483,3208,1423,1581,178,0,26,0,0
15,6994,2070,1450,631,698,106,0,15,0,0
15,7000,2416,1653,699,847,89,2,14,0,2
15,7007,1728,1188,516,606,53,0,13,0,0
15,7012,3127,2115,879,1085,126,4,21,0,0
15,7021,6264,4501,1810,2325,288,5,67,2,4
15,7039,2438,1643,688,834,106,0,15,0,0
15,7046,5566,3981,1637,2076,225,0,39,2,2
15,7062,1730,1176,497,617,55,0,6,0,1
15,7067,2431,1658,667,872,101,3,13,0,2
15,7074,3491,2399,982,1246,145,2,24,0,0
15,7084,2792,1890,725,1022,120,1,22,0,0
15,7092,2439,1648,675,840,108,1,22,0,2
15,7099,2781,1968,804,1010,137,0,12,0,5
15,7107,3453,2386,992,1217,143,4,29,0,1
15,7112,3829,2614,1123,1312,146,0,31,2,0
15,7123,2064,1454,586,741,108,0,19,0,0
15,7129,5474,3744,1483,1983,233,0,43,0,2
15,7145,1714,1168,486,578,72,0,30,1,1
15,7150,3085,2136,859,1121,131,0,25,0,0
15,7159,2399,1644,660,839,114,0,29,0,2
15,7166,2344,1551,685,732,107,0,27,0,0
15,7172,4466,3034,1254,1526,201,0,53,0,0
15,7190,4529,3221,1525,1484,180,0,30,1,1
15,7203,3146,2285,1051,1095,118,0,21,0,0
15,7212,2802,2006,936,952,101,0,17,0,0
15,7220,2450,1741,828,806,93,0,14,0,0
15,7227,2096,1515,654,767,82,0,12,0,0
15,7233,2791,2049,929,974,119,0,27,0,0
15,7241,1397,1008,454,492,52,0,10,0,0
15,7245,1399,993,458,478,49,0,8,0,0
15,7249,2417,1757,750,893,94,2,18,0,0
15,7256,2411,1764,779,874,93,0,16,0,2
15,7263,3450,2592,1055,1377,140,0,20,0,0
15,7273,3800,2783,1106,1483,157,0,37,0,0
15,7284,4138,3074,1233,1632,181,3,24,0,1
15,7296,2416,1789,805,880,88,0,15,0,1
15,7303,3109,2365,1084,1146,112,0,20,0,3
15,7312,3108,2351,1140,1088,100,0,23,0,0
15,7321,2706,1940,860,960,96,0,24,0,0
15,7328,1728,1285,589,621,62,3,9,0,1
